,name,multiverse_id,color_identity,text,flavor,power
15661,Shameless Charlatan,562979.0,['U'],"Commander creatures you own have ""{2}{U}: This creature becomes a copy of another target creature.""",You see your next disguise in every stranger's smile.,
15663,Sword Coast Sailor,562981.0,['U'],"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, this creature can't be blocked this turn.""","You were born at sea, and your legs are steadiest when the waves are rowdiest.",
15667,Tymora's Invoker,562984.0,['U'],Sleight of Hand — {8}: Draw two cards.,"""May Lady Luck smile upon you some other day, pal.""",1
15670,Winter Eladrin,562987.0,['U'],"Gust of Wind — When Winter Eladrin enters the battlefield, return up to one other target creature to its owner's hand.","""If you want a warm welcome, you'll have to seek it elsewhere.""",2
15672,Young Blue Dragon // Sand Augury,562989.0,['U'],Flying,"""I see the far side of tomorrow and the lost memories of queens. What do you wish to learn?""",3
15674,Agent of the Iron Throne,562990.0,['B'],"Commander creatures you own have ""Whenever an artifact or creature you control is put into a graveyard from the battlefield, each opponent loses 1 life.""",You give your clients what they want at a fair price. What happens after that is none of your concern.,
15675,Agent of the Shadow Thieves,562991.0,['B'],"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, put a +1/+1 counter on this creature. It gains deathtouch and indestructible until end of turn.""","Your skill, dexterity, and moral flexibility make you a valuable asset to your guild.",
15680,Armor of Shadows,562995.0,['B'],"Until end of turn, target creature gets +1/+0 and gains indestructible. (Damage and effects that say ""destroy"" don't destroy it.)","""What's softer than silk, stronger than steel, and quieter than thought?""
—Warlock riddle",
15681,Arms of Hadar,562996.0,['B'],Creatures target player controls get -2/-2 until end of turn.,"Burning slowly into annihilation, the elder evil Hadar grants fearsome powers to warlocks willing to help satiate its dark hunger.",
15682,Astarion's Thirst,562997.0,['B'],"Exile target creature. Put X +1/+1 counters on a commander creature you control, where X is the power of the creature exiled this way.","""Stop bleeding. It's distracting.""
—Astarion, the Decadent",
15683,Atrocious Experiment,562998.0,['B'],"Target player mills two cards, draws two cards, and loses 2 life. (To mill a card, a player puts the top card of their library into their graveyard.)",There is no line Jon Irenicus would not cross to regain his lost immortality.,
15684,Blood Money,562999.0,['B'],"Destroy all creatures. For each nontoken creature destroyed this way, you create a tapped Treasure token.","For the patriar class, wealth is in the blood.",
15685,Bonecaller Cleric,563000.0,['B'],"{3}{B}, Sacrifice Bonecaller Cleric: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.","The bell's unearthly chime slips into the ears of the dead, waking them rudely from their eternal slumber.",2
15686,Call to the Void,563001.0,['B'],Each player secretly chooses a creature they control and a creature they don't control. Then those choices are revealed. Destroy each creature chosen this way.,"Bhaal's mortal children carried within them a darkness that, left unchecked, would devour them all.",
15688,Chain Devil,563003.0,['B'],"Animate Chains — When Chain Devil enters the battlefield, each player sacrifices a nontoken creature.","To these fiends, there's no symphony more beautiful than the melodies of rattling chains and ripping flesh.",4
15689,Cloudkill,563004.0,['B'],"All creatures get -X/-X until end of turn, where X is the greatest mana value of a commander you own on the battlefield or in the command zone.","As the acrid fumes drifted through the Lower City, even the vermin ceased to stir.",
15690,Criminal Past,563005.0,['B'],"Commander creatures you own have menace and ""This creature gets +X/+0, where X is the number of creature cards in your graveyard."" (A creature with menace can't be blocked except by two or more creatures.)","You've never cared much for laws or authority, especially when they get in your way.",
15691,Cultist of the Absolute,563006.0,['B'],"Commander creatures you own get +3/+3 and have flying, deathtouch, ""Ward—Pay 3 life,"" and ""At the beginning of your upkeep, sacrifice a creature.""","You embrace power at any cost, and if it consumes you, so be it.",
15694,Eldritch Pact,563009.0,['B'],"Target player draws X cards and loses X life, where X is the number of cards in their graveyard.",The Night Serpent tasted the warlock's ambition and savored the dark hunger in her soul.,
15700,Guildsworn Prowler,563013.0,['B'],"Deathtouch
When Guildsworn Prowler dies, if it wasn't blocking, draw a card.","""Of course it's part of my plan. Who do you think started the bar fight?""",2
15704,Mold Folk,563016.0,['B'],"Lifelink
Mold Harvest — {1}, Sacrifice another creature or an artifact: Put a +1/+1 counter on Mold Folk.","""Corpses of those slain by russet mold grow new moldies. Not the legacy most of us aspire to.""
—Elminster",1
15707,Myrkul's Invoker,563019.0,['B'],Psychic Blades — {8}: Creatures you control get +2/+0 and gain menace until end of turn. (A creature with menace can't be blocked except by two or more creatures.),"""Your death will make a fine tribute for the Lord of Bones.""",2
15708,Nefarious Imp,563020.0,['B'],"Flying
Whenever one or more permanents you control leave the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",It listens to all of their plans and plots creative ways to turn them to ruin.,2
15712,Passageway Seer,563024.0,['B'],"Lifelink
When Passageway Seer enters the battlefield, you take the initiative.
At the beginning of your end step, if you have the initiative, put a +1/+1 counter on Passageway Seer.","""I'm certain there's a shortcut here . . .""",2
15716,Scion of Halaster,563028.0,['B'],"Commander creatures you own have ""The first time you would draw a card each turn, instead look at the top two cards of your library. Put one of them into your graveyard and the other back on top of your library. Then draw a card.""","Most see the Mad Mage as a deranged menace, but you recognize the genius behind his paranoia.",
15717,"Shadowheart, Dark Justiciar",563029.0,['B'],"{1}{B}, {T}, Sacrifice another creature: Draw X cards, where X is that creature's power.
Choose a Background (You can have a Background as a second commander.)","""Shar's will shall be done. As sure as night will fall.""",3
15721,Stirge,563033.0,['B'],"Flying
Stirge can't block.
Blood Drain — {1}{B}, Pay 1 life, Sacrifice Stirge: Draw a card.","""I will never complain about mosquitos again.""
—Imoen",1
15722,Summon Undead,563034.0,['B'],"You may mill three cards. Then return a creature card from your graveyard to the battlefield. (To mill a card, put the top card of your library into your graveyard.)","The air itself shuddered at the wizard's words, and from the dark beyond, her call was answered.",
15724,Topaz Dragon // Entropic Cloud,563036.0,['B'],"Flying, deathtouch","What its gaze doesn't wither, its breath surely will.",4
15726,Underdark Explorer,563037.0,['B'],"Menace (This creature can't be blocked except by two or more creatures.)
When Underdark Explorer enters the battlefield, you take the initiative.","""Keep your fancy magic. All I need is a hook and a sturdy length of rope.""",5
15729,Vrock,563040.0,['B'],"Flying
Toxic Spores — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, each opponent loses 3 life.","""Don't try to bribe them. They'll take your gold *and* your liver.""
—Volo's field notes",3
15730,Zhentarim Bandit,563041.0,['B'],"Whenever Zhentarim Bandit attacks, you may pay 1 life. If you do, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")","""The Zhentarim are ruthless, unscrupulous, and dishonest. But I must admit, they are effective.""
—Commander Liara Portyr",2
15732,Amethyst Dragon // Explosive Crystal,563043.0,['R'],"Flying, haste","""At least it's a beautiful way to die.""
—Erinis, gloom stalker",4
15736,Bhaal's Invoker,563046.0,['R'],Scorching Ray — {8}: Bhaal's Invoker deals 4 damage to each opponent.,"""The Lord of Murder has freed me from the shackles of mortal laws and gifted me with fire to carry out his will.""",4
15738,Breath Weapon,563048.0,['R'],Breath Weapon deals 2 damage to each non-Dragon creature.,"""In the name of Tempus, Lord of Battles, you will die honorably in righteous fire.""",
15739,Carnelian Orb of Dragonkind,563049.0,['R'],"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.","The essence of red dragon burns within, always ready to rise with wrath.",
15741,Coronation of Chaos,563051.0,['R'],"Up to three target creatures can't block this turn. Goad them. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)","When Sarevok's deception was unmasked, the cheering crowd erupted into an outraged mob.",
15743,Dragon Cultist,563053.0,['R'],"Commander creatures you own have ""At the beginning of your end step, if a source you controlled dealt 5 or more damage this turn, create a 4/4 red Dragon creature token with flying.""","You know that mighty dracoliches will one day rule over this world. For you, that day can't come soon enough.",
15744,Earth Tremor,563054.0,['R'],Earth Tremor deals damage to target creature or planeswalker equal to the number of lands you control.,"""Every cave-in is Moradin telling you to leave the earth where it is.""
—Halgar, dwarven recluse",
15745,Elturel Survivors,563055.0,['R'],"Trample, myriad
As long as Elturel Survivors is attacking, it gets +X/+0, where X is the number of lands defending player controls.",They fought with the desperate courage of those who have nothing left to lose.,0
15746,Fang Dragon // Forktail Sweep,563056.0,['R'],Flying,"""Watch out for its teeth, tail, claws, wings, back, and front.""
—Olga, cavalier",6
15749,Fireball,563058.0,['R'],"This spell costs {1} more to cast for each target beyond the first.
Fireball deals X damage divided evenly, rounded down, among any number of targets.","The orchard soon reeked of sulfur, smoke, and scorched bugbear, with just a hint of peach.",
15753,Guild Artisan,563062.0,['R'],"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, you create two Treasure tokens."" (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Your discerning eye for value makes you nearly impossible to swindle.,
15756,Ingenious Artillerist,563065.0,['R'],"Whenever one or more artifacts enter the battlefield under your control, Ingenious Artillerist deals that much damage to each opponent.","""Sure, you can help me calibrate the aiming mechanism. Stand over there.""",3
15757,Inspired Tinkering,563066.0,['R'],"Exile the top three cards of your library. Until the end of your next turn, you may play those cards.
Create three Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")","""What do you mean 'Does it work?' What an insulting question.""",
15762,"Livaan, Cultist of Tiamat",563071.0,['R'],"Whenever you cast a noncreature spell, target creature gets +X/+0 until end of turn, where X is that spell's mana value.
Choose a Background (You can have a Background as a second commander.)",Her hunger for power consumes what the fire cannot.,1
15763,Nemesis Phoenix,563072.0,['R'],"Flying
{2}{R}: Return Nemesis Phoenix from your graveyard to the battlefield tapped and attacking. Activate only during the declare attackers step and only if you're attacking two or more opponents.",A flame as bright and merciless as the sun.,4
15764,Pack Attack,563073.0,['R'],"Attacking creatures get +X/+0 until end of turn, where X is the number of players being attacked.
Draw a card.","Kobold tactics rarely account for little things like diplomacy, mercy, or surrender.",
15765,Patron of the Arts,563074.0,['R'],"When Patron of the Arts enters the battlefield or dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")","""It's okay. My mother owns the museum.""",3
15766,Popular Entertainer,563075.0,['R'],"Commander creatures you own have ""Whenever one or more creatures you control deal combat damage to a player, goad target creature that player controls."" (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)","The last thing anyone would describe you as is shy. You love the spotlight, and it loves you back.",
15767,Reckless Barbarian,563076.0,['R'],Sacrifice Reckless Barbarian: Add {R}{R}.,"The best defense is not even knowing what the word ""defense"" means.",2
15769,Stirring Bard,563078.0,['R'],"Defender
When Stirring Bard enters the battlefield, you take the initiative.
Mantle of Inspiration — {T}: Target creature gains menace and haste until end of turn.","At the first sign of danger, she breaks out the power chords.",0
15770,Storm King's Thunder,563079.0,['R'],"When you cast your next instant or sorcery spell this turn, copy that spell X times. You may choose new targets for the copies.","""I alone am worthy to decide where lighting strikes.""
—Hekaton, storm giant king",
15771,Street Urchin,563080.0,['R'],"Commander creatures you own have ""{1}, Sacrifice another creature or an artifact: This creature deals 1 damage to any target.""","Your harsh upbringing on the streets of the city left you crafty, resilient, and wise beyond your years.",
15773,Taunting Kobold,563082.0,['R'],"Haste
Whenever Taunting Kobold attacks, goad target creature an opponent controls. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)","Pozo's heart was full of courage, right up until it was full of elven steel.",0
15774,Tavern Brawler,563083.0,['R'],"Commander creatures you own have ""At the beginning of your upkeep, exile the top card of your library. This creature gets +X/+0 until end of turn, where X is that card's mana value. You may play that card this turn.""","The only thing you love more than a good drink is a good fight. Luckily, one usually follows the other.",
15780,Warehouse Thief,563088.0,['R'],"{2}, {T}, Sacrifice an artifact or creature: Exile the top card of your library. Until the end of your next turn, you may play that card.",Wealthy patriars make up the vast majority of both his victims and his customers.,4
15782,Wrathful Red Dragon,563090.0,['R'],"Flying
Whenever a Dragon you control is dealt damage, it deals that much damage to any target that isn't a Dragon.","""We'll put it all back! The gems, the gold, the chalice that would've looked great on my mantle; we'll put everythi—""",5
15785,Young Red Dragon // Bathe in Gold,563093.0,['R'],"Flying
Young Red Dragon can't block.","For most, deadly. For a dragon, decadent.",3
15788,Acolyte of Bahamut,563095.0,['G'],"Commander creatures you own have ""The first Dragon spell you cast each turn costs {2} less to cast.""",You were on a wayward path until Bahamut showed you that power and kindness can unite beneath the same banner.,
15789,Ambitious Dragonborn,563096.0,['G'],"Ambitious Dragonborn enters the battlefield with X +1/+1 counters on it, where X is the greatest power among creatures you control and creature cards in your graveyard.",The raging green dragon left destruction—and at least one admirer—in its wake.,0
15791,Avenging Hunter,563098.0,['G'],"Trample
When Avenging Hunter enters the battlefield, you take the initiative.","""I will remember my friends. But you? You won't be remembered at all.""",5
15792,Band Together,563099.0,['G'],Up to two target creatures you control each deal damage equal to their power to another target creature.,"""Boo, let's see how this miscreant handles a furry missile of justice!""",
15793,Barroom Brawl,563100.0,['G'],Target creature you control fights target creature the opponent to your left controls. Then that player may copy this spell and may choose new targets for the copy.,"""I'll see your three dragons and raise you two fists!""",
15795,Carefree Swinemaster,563102.0,['G'],"Whenever Carefree Swinemaster attacks, you may pay {1}{G}. If you do, create a 2/2 green Boar creature token that's tapped and attacking.","""C'mon, Boodigan, let's go see what kind of treasure this place has!""",1
15797,Cloakwood Hermit,563104.0,['G'],"Commander creatures you own have ""At the beginning of your end step, if a creature card was put into your graveyard from anywhere this turn, create two tapped 1/1 green Squirrel creature tokens.""",You've always preferred the company of animals to people.,
15798,Cloakwood Swarmkeeper,563105.0,['G'],"Gathered Swarm — Whenever one or more tokens enter the battlefield under your control, put a +1/+1 counter on Cloakwood Swarmkeeper.","When he's threatened, the forest buzzes and the air hums with dragonfly wings.",1
15799,Colossal Badger // Dig Deep,563106.0,['G'],"When Colossal Badger enters the battlefield, you gain 3 life.",Rip through enough dirt and you'll eventually find something edible.,6
15801,Draconic Muralists,563107.0,['G'],"When Draconic Muralists dies, you may search your library for a Dragon card, reveal it, put it into your hand, then shuffle.","""We must never allow the deeds of our great ancestors to be forgotten.""",4
15802,Dread Linnorm // Scale Deflection,563108.0,['G'],Dread Linnorm can't be blocked by creatures with power 3 or less.,"A serpent's cruelty, a dragon's appetite.",7
15805,Druidic Ritual,563110.0,['G'],"You may mill three cards. Then return up to one creature card and up to one land card from your graveyard to your hand. (To mill a card, put the top card of your library into your graveyard.)","Bone, root, and seed—the past, the present, and future in one handful of earth.",
15807,Emerald Dragon // Dissonant Wave,563112.0,['G'],"Flying, trample","Emerald dragons hate prying eyes, and they have a host of ways to deter them.",4
15810,Ettercap // Web Shot,563114.0,['G'],Reach,"""Filthy, sticky, vile, noxious—and I haven't even started describing the webs.""
—Erinis, gloom stalker",2
15812,Explore the Underdark,563115.0,['G'],"Search your library for up to two basic land cards and/or Gate cards, put them onto the battlefield tapped, then shuffle.
You take the initiative.","""Careful near those pretty glowing plants. What do you think they feed on?""
—Talin, Underdark guide",
15815,Hardy Outlander,563118.0,['G'],"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, another target creature you control gets +X/+X until end of turn, where X is this creature's power.""","You're a born explorer, happiest forging your way through the untamed wilds.",
15817,"Jaheira, Friend of the Forest",563120.0,['G'],"Tokens you control have ""{T}: Add {G}.""
Choose a Background (You can have a Background as a second commander.)","""The Harpers' movement grows, but it needs sunlight to blossom. We can be that light.""",2
15819,Lurking Green Dragon,563122.0,['G'],"Flying
Lurking Green Dragon can't attack unless defending player controls a creature with flying.","""Territorial. Scary. No further notes.""
—Volo's field notes",4
15821,Master Chef,563124.0,['G'],"Commander creatures you own have ""This creature enters the battlefield with an additional +1/+1 counter on it"" and ""Other creatures you control enter the battlefield with an additional +1/+1 counter on them.""","You never thought ""rations"" was an appropriate term for the feasts you prepare for your party.",
15822,Monster Manual // Zoological Study,563125.0,['G'],"{1}{G}, {T}: You may put a creature card from your hand onto the battlefield.",The detail really makes the monsters jump off the page.,
15824,Myconid Spore Tender,563126.0,['G'],"Infesting Spores — When Myconid Spore Tender enters the battlefield, destroy up to one target artifact or enchantment.","Myconid colonies grow and expand at an aggressive rate, but they are friendly and peaceful unless provoked.",4
15828,Owlbear Shepherd,563130.0,['G'],"At the beginning of your end step, if creatures you control have total power 8 or greater, draw a card.","When your pack is nowhere to be found, you form a new one.",1
15829,Poison the Blade,563131.0,['G'],"Target creature gains deathtouch until end of turn.
Draw a card.","""Breath of basilisk, sting of scorpion, or medusa's tears? All may be distilled, for a price.""",
15831,Raised by Giants,563133.0,['G'],Commander creatures you own have base power and toughness 10/10 and are Giants in addition to their other types.,"Your parents taught you that strength can be nurtured and honed, no matter one's size.",
15832,Saddle of the Cavalier,563134.0,['G'],"Equipped creature gets +3/+3 and can't be blocked by creatures with power 3 or less.
Equip {3}",""". . . and I will need an equally righteous but slightly smaller saddle for my space hamster companion.""
—Minsc, beloved ranger",
15833,Scaled Nurturer,563135.0,['G'],"{T}: Add {G}. When you spend this mana to cast a Dragon creature spell, you gain 2 life.","""Life always starts small. Only time will tell what heights it may reach.""",0
15835,Silvanus's Invoker,563137.0,['G'],Conjure Elemental — {8}: Untap target land you control. It becomes an 8/8 Elemental creature with trample and haste until end of turn. It's still a land.,"""Arise, friend, and seize the horizon in the name of the Oak Father.""",3
15838,Split the Spoils,563140.0,['G'],Exile up to five target permanent cards from your graveyard and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. (Piles can be empty.),"""That half is yours. These halves are mine.""",
15840,Undercellar Myconid,563142.0,['G'],"Whenever Undercellar Myconid enters the battlefield or dies, create a 1/1 green Saproling creature token.
{T}: Add one mana of any color.","Water, barley, yeast, darkness—the tavern cellar had everything a growing mold could need.",1
15886,Charcoal Diamond,563188.0,['B'],"Charcoal Diamond enters the battlefield tapped.
{T}: Add {B}.",Every facet a portent of Kelemvor's inevitable judgment.,
15894,Fire Diamond,563196.0,['R'],"Fire Diamond enters the battlefield tapped.
{T}: Add {R}.",Every facet aglow like iron in Moradin's mighty forge.,
15901,Marble Diamond,563203.0,['W'],"Marble Diamond enters the battlefield tapped.
{T}: Add {W}.",Every facet a benediction of Lathander's light.,
15908,Moss Diamond,563210.0,['G'],"Moss Diamond enters the battlefield tapped.
{T}: Add {G}.",Every facet a promise of Chauntea's bounty.,
15918,Sky Diamond,563220.0,['U'],"Sky Diamond enters the battlefield tapped.
{T}: Add {U}.",Every facet a window into Oghma's divine insight.,
15928,Black Dragon Gate,563230.0,['B'],"Black Dragon Gate enters the battlefield tapped.
As Black Dragon Gate enters the battlefield, choose a color other than black.
{T}: Add {B} or one mana of the chosen color.",An imposing visage that looms over all who would rise above their station.,
15930,Citadel Gate,563232.0,['W'],"Citadel Gate enters the battlefield tapped.
As Citadel Gate enters the battlefield, choose a color other than white.
{T}: Add {W} or one mana of the chosen color.","A beacon of order and safety, for those who can afford it.",
15931,Cliffgate,563233.0,['R'],"Cliffgate enters the battlefield tapped.
As Cliffgate enters the battlefield, choose a color other than red.
{T}: Add {R} or one mana of the chosen color.",A partition between the hopeless living and the restless dead.,
15937,Manor Gate,563239.0,['G'],"Manor Gate enters the battlefield tapped.
As Manor Gate enters the battlefield, choose a color other than green.
{T}: Add {G} or one mana of the chosen color.",A barrier that shields privileged eyes from the city's woes.,
15940,Sea Gate,563242.0,['U'],"Sea Gate enters the battlefield tapped.
As Sea Gate enters the battlefield, choose a color other than blue.
{T}: Add {U} or one mana of the chosen color.",An efficient route from a smuggler's ship to a patriar's manor.,
16236,Folk Hero,567143.0,['W'],"Commander creatures you own have ""Whenever you cast a spell that shares a creature type with this creature, draw a card. This ability triggers only once each turn.""",Tales of your great deeds follow you no matter how far you travel from your hometown.,
16237,Clan Crafter,567144.0,['U'],"Commander creatures you own have ""{2}, Sacrifice an artifact: Put a +1/+1 counter on this creature and draw a card.""","Trained by a dwarven master, you see the potential in every scrap of metal.",
16242,Passionate Archaeologist,567149.0,['R'],"Commander creatures you own have ""Whenever you cast a spell from exile, this creature deals damage equal to that spell's mana value to target opponent.""",You can't remember a time when you didn't feel the pull of forgotten stories and buried secrets.,
16247,Stick Together,567226.0,['W'],"Each player chooses a party from among creatures they control, then sacrifices the rest. (To choose a party, choose up to one each of Cleric, Rogue, Warrior, and Wizard.)","Every veteran adventurer will tell you to stick with your party, because the ones who split up aren't around to give advice.",
16284,Irregular Cohort,567513.0,['W'],"Changeling (This card is every creature type.)
When Irregular Cohort enters the battlefield, create a 2/2 colorless Shapeshifter creature token with changeling.",Where fickle form meets lasting loyalty.,2
16286,Mage's Attendant,567515.0,['W'],"When Mage's Attendant enters the battlefield, create a 1/1 blue Wizard creature token with ""{1}, Sacrifice this creature: Counter target noncreature spell unless its controller pays {1}.""",Crime sometimes makes unlikely allies into lifelong friends.,3
16290,Mother of Runes,567519.0,['W'],{T}: Target creature you control gains protection from the color of your choice until end of turn.,"""My family protects all families.""",1
16291,Order of Whiteclay,567520.0,['W'],"{1}{W}{W}, {Q}: Return target creature card with mana value 3 or less from your graveyard to the battlefield. ({Q} is the untap symbol.)","Made from the clay of burial mounds, the face paint of the priests is a sign of their respect for those whose rest they interrupt.",1
16293,Rumor Gatherer,567522.0,['W'],"Alliance — Whenever another creature enters the battlefield under your control, scry 1. If this is the second time this ability has resolved this turn, draw a card instead.","""It's delightful, the things their owners reveal when they think no one is listening.""",2
16294,Selfless Spirit,567523.0,['W'],"Flying
Sacrifice Selfless Spirit: Creatures you control gain indestructible until end of turn.","""There is always more to give.""",2
16301,Angler Turtle,567530.0,['U'],"Hexproof
Creatures your opponents control attack each combat if able.","It is ancient, immense, and irresistible.",5
16306,Dissipation Field,567535.0,['U'],"Whenever a permanent deals damage to you, return it to its owner's hand.","""Strike me once, shame on you. Strike me twice . . . Well, let's just see if you can.""
—Kara Vrist, Neurok agent",
16309,Forgotten Creation,567538.0,['U'],"Skulk (This creature can't be blocked by creatures with greater power.)
At the beginning of your upkeep, you may discard all the cards in your hand. If you do, draw that many cards.","""My earliest work escapes me.""
—Stitcher Geralf",3
16310,Fractured Sanity,567539.0,['U'],"Each opponent mills fourteen cards.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
When you cycle Fractured Sanity, each opponent mills four cards.",The body grows stronger under stress. The mind does not.,
16313,"Keiga, the Tide Star",567542.0,['U'],"Flying
When Keiga, the Tide Star dies, gain control of target creature.",The pull of the tide star holds eternal sway.,5
16321,Reflections of Littjara,567550.0,['U'],"As Reflections of Littjara enters the battlefield, choose a creature type.
Whenever you cast a spell of the chosen type, copy that spell. (A copy of a permanent spell becomes a token.)","The masks float downstream toward the Mirrorlake, where faces arise to wear them.",
16323,Sludge Monster,567552.0,['U'],"Whenever Sludge Monster enters the battlefield or attacks, put a slime counter on up to one other target creature.
Non-Horror creatures with slime counters on them lose all abilities and have base power and toughness 2/2.",Tracking it isn't the hard part.,5
16328,Bloodsoaked Champion,567557.0,['B'],"Bloodsoaked Champion can't block.
Raid — {1}{B}: Return Bloodsoaked Champion from your graveyard to the battlefield. Activate only if you attacked this turn.","""Death is merely another foe the Mardu will overcome.""",2
16330,Calculating Lich,567559.0,['B'],"Menace
Whenever a creature attacks one of your opponents, that player loses 1 life.","""We share a common enemy. Does that not make us friends?""",5
16331,Changeling Outcast,567560.0,['B'],"Changeling (This card is every creature type.)
Changeling Outcast can't block and can't be blocked.",A mercurial face sows distrust. Distrust reaps a lonely life.,1
16333,Crippling Fear,567562.0,['B'],Choose a creature type. Creatures that aren't of the chosen type get -3/-3 until end of turn.,"Panic spread like wildfire as the demons of Immersturm poured into Bretagard, slaughtering as they came.",
16337,Dire Fleet Ravager,567566.0,['B'],"Menace, deathtouch
When Dire Fleet Ravager enters the battlefield, each player loses a third of their life, rounded up.","His fists fume with the decay of death, each strike a plague on the hearts of his enemies.",4
16348,Malakir Blood-Priest,567577.0,['B'],"When Malakir Blood-Priest enters the battlefield, each opponent loses X life and you gain X life, where X is the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)","""From your veins to mine.""",2
16351,Nighthawk Scavenger,567580.0,['B'],"Flying, deathtouch, lifelink
Nighthawk Scavenger's power is equal to 1 plus the number of card types among cards in your opponents' graveyards. (Cards in graveyards have only the characteristics of their front face.)","Under Drana's leadership, vampires are finding new strength in unity.",1+*
16367,Avatar of Slaughter,567596.0,['R'],All creatures have double strike and attack each combat if able.,"""Diplomacy has solved nothing. Only bloodspill can end this now. Call forth the warbringer.""
—Basandra, Battle Seraph",8
16369,Bonecrusher Giant // Stomp,567598.0,['R'],"Whenever Bonecrusher Giant becomes the target of a spell, Bonecrusher Giant deals 2 damage to that spell's controller.",Not every tale ends in glory.,4
16371,Brash Taunter,567599.0,['R'],"Indestructible
Whenever Brash Taunter is dealt damage, it deals that much damage to target opponent.
{2}{R}, {T}: Brash Taunter fights another target creature.","""You hit like a kobold!""",1
16376,Demon Bolt,567604.0,['R'],"Demon Bolt deals 4 damage to target creature or planeswalker.
Foretell {R} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)","""Burn them from the sky.""
—Varragoth",
16379,"Drakuseth, Maw of Flames",567607.0,['R'],"Flying
Whenever Drakuseth, Maw of Flames attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets.","""Spread out, you idiots! Spread out!""
—Marsden, party leader, last words",7
16381,Embereth Shieldbreaker // Battle Display,567609.0,['R'],,"""Courage is the only shield I need.""",2
16384,Geode Rager,567611.0,['R'],"First strike
Landfall — Whenever a land enters the battlefield under your control, goad each creature target player controls. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)",Its crystalline core refracts light into chaos.,4
16389,Jeska's Will,567616.0,['R'],"Choose one. If you control a commander as you cast this spell, you may choose both.
• Add {R} for each card in target opponent's hand.
• Exile the top three cards of your library. You may play them this turn.","""Gather your strength. Prepare yourself.""
—Jeska, to Radha",
16396,"Ryusei, the Falling Star",567623.0,['R'],"Flying
When Ryusei, the Falling Star dies, it deals 5 damage to each creature without flying.",The course of the falling star always ends in ruin.,5
16400,Thunder Dragon,567627.0,['R'],"Flying
When Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.",Sometimes primitive cultures attributed natural phenomena to monsters. Sometimes they were right.,5
16401,Urabrask the Hidden,567628.0,['R'],"Creatures you control have haste.
Creatures your opponents control enter the battlefield tapped.","When the Mirran resistance arrived, the furnace dwellers looked to Urabrask for guidance. His decree stunned the others: ""Let them be.""",4
16407,Arasta of the Endless Web,567634.0,['G'],"Reach
Whenever an opponent casts an instant or sorcery spell, create a 1/2 green Spider creature token with reach.","Her webs, spun from her own hair, reach from Nyx to the mortal world and even into the Underworld.",3
16413,End-Raze Forerunners,567639.0,['G'],"Vigilance, trample, haste
When End-Raze Forerunners enters the battlefield, other creatures you control get +2/+2 and gain vigilance and trample until end of turn.","""Smash this city to pieces.""
—Domri Rade",7
16418,Lovestruck Beast // Heart's Desire,567644.0,['G'],Lovestruck Beast can't attack unless you control a 1/1 creature.,"His mind chose solitude, but his heart disagreed.",5
16429,Three Visits,567654.0,['G'],"Search your library for a Forest card, put it onto the battlefield, then shuffle.",Those who love the woods only wish to spread its majesty.,
16475,Castle Embereth,567700.0,['R'],"Castle Embereth enters the battlefield tapped unless you control a Mountain.
{T}: Add {R}.
{1}{R}{R}, {T}: Creatures you control get +1/+0 until end of turn.","Without Embereth's courage, the realm would falter and fall.",
16476,Castle Locthwain,567701.0,['B'],"Castle Locthwain enters the battlefield tapped unless you control a Swamp.
{T}: Add {B}.
{1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand.","Without Locthwain's persistence, the realm would stagnate and die.",
16477,Castle Vantress,567702.0,['U'],"Castle Vantress enters the battlefield tapped unless you control an Island.
{T}: Add {U}.
{2}{U}{U}, {T}: Scry 2.","Without Vantress's knowledge, the realm would lose itself in darkness.",
