,name,multiverse_id,colors,color_identity,supertypes,text,flavor,number,power,toughness,loyalty
17961,Wild Celebrants,497732.0,['R'],['R'],,"When Wild Celebrants enters the battlefield, you may destroy target artifact.","""You can tell something's really valuable by the sound it makes when you slam your staff into it.""",212,5,3,
17962,Ambush Viper,497733.0,['G'],['G'],,"Flash
Deathtouch","""Living creatures seldom impress me. But I like this one.""
—Uta Falkenrath",213,2,1,
17964,Ancient Animus,497735.0,['G'],['G'],,Put a +1/+1 counter on target creature you control if it's legendary. Then it fights target creature an opponent controls. (Each deals damage equal to its power to the other.),Multani's mind grasped for consciousness as rage itself rebuilt his body.,215,,,
17967,Armorcraft Judge,497738.0,['G'],['G'],,"When Armorcraft Judge enters the battlefield, draw a card for each creature you control with a +1/+1 counter on it.","Were she not a judge, she'd win the division herself.",218,3,3,
17968,Biowaste Blob,497739.0,['G'],['G'],,"Oozes you control get +1/+1.
At the beginning of your upkeep, if you control a commander, create a token that's a copy of Biowaste Blob.","""The Simic will be fined for contaminating the waterways. In the meantime, seize that blob!""
—Arrester Polgar",219,0,0,
17969,Court of Bounty,497740.0,['G'],['G'],,"When Court of Bounty enters the battlefield, you become the monarch.
At the beginning of your upkeep, you may put a land card from your hand onto the battlefield. If you're the monarch, instead you may put a creature or land card from your hand onto the battlefield.",To grow is to triumph.,220,,,
17971,Dawnglade Regent,497742.0,['G'],['G'],,"When Dawnglade Regent enters the battlefield, you become the monarch.
As long as you're the monarch, permanents you control have hexproof.","""Every creature in the glade paused and stared. Overcome, I bowed to the beast.""
—Endril, Kalonian naturalist",222,8,8,
17973,Entourage of Trest,497744.0,['G'],['G'],,"When Entourage of Trest enters the battlefield, you become the monarch.
Entourage of Trest can block an additional creature each combat as long as you're the monarch.","""The dim resort to violence, for which the nimble prepare.""
—Leovold, emissary of Trest",224,4,4,
17977,Fyndhorn Elves,497748.0,['G'],['G'],,{T}: Add {G}.,"""We could no more abandon the forest than the stars could abandon the night sky.""",228,1,1,
17979,"Gilanra, Caller of Wirewood",497750.0,['G'],['G'],['Legendary'],"{T}: Add {G}. When you spend this mana to cast a spell with mana value 6 or greater, draw a card.
Partner (You can have two commanders if both have partner.)","""Something mighty stirs in the forest. Can't you feel it?""",230,1,2,
17985,Ivy Lane Denizen,497756.0,['G'],['G'],,"Whenever another green creature enters the battlefield under your control, put a +1/+1 counter on target creature.","""Skyknight gear? Well, I have drake-skin gauntlets, supple and fireproof. Or a ceratok chestplate that'll stop a crossbow bolt.""",236,2,3,
17991,Magus of the Order,497762.0,['G'],['G'],,"{G}, {T}, Sacrifice Magus of the Order and another green creature: Search your library for a green creature card, put it onto the battlefield, then shuffle.","""Life for life. The cost is always the same.""",242,3,3,
17992,Molder Beast,497763.0,['G'],['G'],,"Trample
Whenever an artifact is put into a graveyard from the battlefield, Molder Beast gets +2/+0 until end of turn.","""A trail of scrap metal can lead it into an ambush. But take care not to overfeed it.""
—Adaran, Tangle hunter",243,5,3,
17995,"Numa, Joraga Chieftain",497766.0,['G'],['G'],['Legendary'],"At the beginning of combat on your turn, you may pay {X}{X}. When you do, distribute X +1/+1 counters among any number of target Elves.
Partner (You can have two commanders if both have partner.)",His blade carves a path for his people. His words guide them along it.,246,2,2,
17998,Reshape the Earth,497769.0,['G'],['G'],,"Search your library for up to ten land cards, put them onto the battlefield tapped, then shuffle.","""The land is not dead, merely dormant. It will awaken if you know how to ask.""
—Gilanra, Caller of Wirewood",249,,,
18002,Sentinel Spider,497773.0,['G'],['G'],,"Vigilance, reach","""Your first reaction may be to stand very still and hope she didn't see you. Trust me, she did.""
—Endril, Kalonian naturalist",253,4,4,
18003,Sifter Wurm,497774.0,['G'],['G'],,"Trample
When Sifter Wurm enters the battlefield, scry 3, then reveal the top card of your library. You gain life equal to that card's mana value.","""Rhonas's monument belongs to the wurms now. Look elsewhere for refuge.""
—Arnun, vizier of the menagerie",254,7,7,
18004,Silverback Shaman,497775.0,['G'],['G'],,"Trample
When Silverback Shaman dies, draw a card.",The apes of Yavimaya draw strength from the spirits of their ancestors.,255,5,4,
18008,Strength of the Pack,497779.0,['G'],['G'],,Put two +1/+1 counters on each creature you control.,"The pack that ambushes, eviscerates, and devours together stays together.",259,,,
18013,Wildsize,497784.0,['G'],['G'],,"Target creature gets +2/+2 and gains trample until end of turn.
Draw a card.","Two times the size, four times the smell.",264,,,
18112,Timely Ward,500789.0,['W'],['W'],,"You may cast this spell as though it had flash if it targets a commander.
Enchant creature
Enchanted creature has indestructible.",Behind every general who leads from the front is a nervous mage with a spell at the ready.,363,,,
18113,Blazing Sunsteel,500790.0,['R'],['R'],,"Equipped creature gets +1/+0 for each opponent you have.
Whenever equipped creature is dealt damage, it deals that much damage to any target.
Equip {4}",Wyleth emerged from the crater unscathed with the sun's fury trapped in his hands.,364,,,
18116,Stumpsquall Hydra,500793.0,['G'],['G'],,"When Stumpsquall Hydra enters the battlefield, distribute X +1/+1 counters among it and any number of commanders.","In preparation to grow new heads, a hydra may rid itself of older ones.",367,1,1,
18119,"Danitha Capashen, Paragon",500850.0,['W'],['W'],['Legendary'],"First strike, vigilance, lifelink
Aura and Equipment spells you cast cost {1} less to cast.","""I will protect the less fortunate. I will love bravely. I will face despair and fight on. As a Capashen, I can do no less.""",370,2,2,
18124,Generous Gift,500855.0,['W'],['W'],,Destroy target permanent. Its controller creates a 3/3 green Elephant creature token.,The best presents are impossible to regift.,375,,,
18125,Ironclad Slayer,500856.0,['W'],['W'],,"When Ironclad Slayer enters the battlefield, you may return target Aura or Equipment card from your graveyard to your hand.",The best weapon is the one at hand.,376,3,2,
18129,On Serra's Wings,500860.0,['W'],['W'],['Legendary'],"Enchant creature
Enchanted creature is legendary, gets +1/+1, and has flying, vigilance, and lifelink.","""The spirit of Serra raised Brindri high and commanded her to keep the balance.""
—*Song of All*, canto 524",380,,,
18133,Sigarda's Aid,500864.0,['W'],['W'],,"You may cast Aura and Equipment spells as though they had flash.
Whenever an Equipment enters the battlefield under your control, you may attach it to target creature you control.",The Order of Saint Traft found new strength with Sigarda's support.,384,,,
18134,Spirit Mantle,500865.0,['W'],['W'],,"Enchant creature
Enchanted creature gets +1/+1 and has protection from creatures.",The shield of unimpeachable purity is as strong as any wrought on the anvil.,385,,,
18163,Fists of Flame,500894.0,['R'],['R'],,"Draw a card. Until end of turn, target creature gains trample and gets +1/+0 for each card you've drawn this turn.","""Fire has always been my most faithful companion.""
—Jared Carthalion",414,,,
18164,Jaya's Immolating Inferno,500895.0,['R'],['R'],['Legendary'],"(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)
Jaya's Immolating Inferno deals X damage to each of up to three targets.","Centuries ago, a pyromancer's spark ignited a fiery conflagration.",415,,,
18182,Ramunap Excavator,500913.0,['G'],['G'],,You may play lands from your graveyard.,"""This world was once so much more than the confines of Naktamun.""",433,2,3,
18186,Sporemound,500917.0,['G'],['G'],,"Landfall — Whenever a land enters the battlefield under your control, create a 1/1 green Saproling creature token.","""If you threaten its territory, it produces spores. Actually, no matter what you do, it produces spores.""
—Hadi Kasten, Calla Dale naturalist",437,3,3,
18482,Ballot Broker,416770.0,['W'],['W'],,"While voting, you may vote an additional time. (The votes can be for different choices or for the same choice.)","""Merchants and politicians differ only in name.""
—Queen Marchesa",13,2,3,
18490,Protector of the Crown,416778.0,['W'],['W'],,"When Protector of the Crown enters the battlefield, you become the monarch.
All damage that would be dealt to you is dealt to Protector of the Crown instead.","""I gladly offer my weapon and my life to the glory of my sovereign.""",21,2,5,
18491,Recruiter of the Guard,416779.0,['W'],['W'],,"When Recruiter of the Guard enters the battlefield, you may search your library for a creature card with toughness 2 or less, reveal it, put it into your hand, then shuffle.","Before a cause can have supporters, it has to have a voice.",22,1,1,
18492,Sanctum Prelate,416780.0,['W'],['W'],,"As Sanctum Prelate enters the battlefield, choose a number.
Noncreature spells with mana value equal to the chosen number can't be cast.","""These halls are sacred. You *will* be silent.""",23,2,2,
18494,Throne Warden,416782.0,['W'],['W'],,"At the beginning of your end step, if you're the monarch, put a +1/+1 counter on Throne Warden.","""Rulers come and go, but my allegiance belongs to the throne.""",25,2,2,
18495,Wings of the Guard,416783.0,['W'],['W'],,"Flying
Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)","Within the city walls, Adriana's falcons hunt vermin of all kinds.",26,1,1,
18497,Canal Courier,416785.0,['U'],['U'],,"When Canal Courier enters the battlefield, you become the monarch.
Whenever Canal Courier and another creature attack different players, Canal Courier can't be blocked this combat.",The most effective roadways in Paliano aren't roads at all.,28,3,5,
18499,Expropriate,416787.0,['U'],['U'],,"Council's dilemma — Starting with you, each player votes for time or money. For each time vote, take an extra turn after this one. For each money vote, choose a permanent owned by the voter and gain control of it. Exile Expropriate.",Few things are more valuable than time or money—and Leovold has plenty of both.,30,,,
18500,Illusion of Choice,416788.0,['U'],['U'],,"You choose how each player votes this turn.
Draw a card.","""Please vote with a clear head and vigilant heart, knowing each voice is meaningful regardless of the outcome.""
—Ottavio d'Oro, Electoral Committee Speaker of Paliano",31,,,
18502,Jeering Homunculus,416790.0,['U'],['U'],,"When Jeering Homunculus enters the battlefield, you may goad target creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)",Mklthd had always hated crowds . . . and they had always hated him.,33,0,4,
18503,Keeper of Keys,416791.0,['U'],['U'],,"When Keeper of Keys enters the battlefield, you become the monarch.
At the beginning of your upkeep, if you're the monarch, creatures you control can't be blocked this turn.","For the right price, he'll unlock your path to the throne.",34,4,4,
18507,Stunt Double,416795.0,['U'],['U'],,"Flash
You may have Stunt Double enter the battlefield as a copy of any creature on the battlefield.",No duelist is without equal in Paliano.,38,0,0,
18509,Capital Punishment,416797.0,['B'],['B'],,"Council's dilemma — Starting with you, each player votes for death or taxes. Each opponent sacrifices a creature for each death vote and discards a card for each taxes vote.","""I did offer them a choice . . .""
—Queen Marchesa",40,,,
18510,Custodi Lich,416798.0,['B'],['B'],,"When Custodi Lich enters the battlefield, you become the monarch.
Whenever you become the monarch, target player sacrifices a creature.","""Keeping order is a task too important to relinquish in death.""
—Abrado, Custodi priest",41,4,2,
18512,Garrulous Sycophant,416800.0,['B'],['B'],,"At the beginning of your end step, if you're the monarch, each opponent loses 1 life and you gain 1 life.","""Marchesa's poison is delivered by more than daggers.""
—Adriana, Captain of the Guard",43,1,4,
18513,Marchesa's Decree,416801.0,['B'],['B'],,"When Marchesa's Decree enters the battlefield, you become the monarch.
Whenever a creature attacks you or a planeswalker you control, that creature's controller loses 1 life.","""Those who seize power must have the means to hold it.""
—Queen Marchesa",44,,,
18514,Regicide,416802.0,['B'],['B'],,"Reveal Regicide as you draft it. The player to your right chooses a color, you choose another color, then the player to your left chooses a third color.
Destroy target creature that's one or more of the colors chosen as you drafted cards named Regicide.","""You're done!""",45,,,
18518,Besmirch,416806.0,['R'],['R'],,"Until end of turn, gain control of target creature and it gains haste. Untap and goad that creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)",The whitest robes stain best.,49,,,
18519,Crown-Hunter Hireling,416807.0,['R'],['R'],,"When Crown-Hunter Hireling enters the battlefield, you become the monarch.
Crown-Hunter Hireling can't attack unless defending player is the monarch.","While most in Paliano seek fame through favor, he'll settle for infamy through blood.",50,4,4,
18520,Deputized Protester,416808.0,['R'],['R'],,"Menace (This creature can't be blocked except by two or more creatures.)
Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)","Butcher's training, warrior's heart.",51,2,1,
18522,Goblin Racketeer,416810.0,['R'],['R'],,"Whenever Goblin Racketeer attacks, you may goad target creature defending player controls. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)","""It, uh, fell off a cart?""",53,4,2,
18523,"Grenzo, Havoc Raiser",416811.0,['R'],['R'],['Legendary'],"Whenever a creature you control deals combat damage to a player, choose one —
• Goad target creature that player controls.
• Exile the top card of that player's library. Until end of turn, you may cast that card and you may spend mana as though it were mana of any color to cast that spell.","""You burn. I'll pillage.""",54,2,2,
18527,Subterranean Tremors,416815.0,['R'],['R'],,"Subterranean Tremors deals X damage to each creature without flying. If X is 4 or more, destroy all artifacts. If X is 8 or more, create an 8/8 red Lizard creature token.",The market is now closed.,58,,,
18532,Domesticated Hydra,416820.0,['G'],['G'],,"{X}{G}{G}{G}: Monstrosity X. (If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)
As long as Domesticated Hydra is monstrous, it has trample.","""Sit. Fetch. Devastate.""",63,3,3,
18536,Menagerie Liberator,416824.0,['G'],['G'],,"Trample
Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)","""The wild are neither your thralls nor your amusement.""",67,3,2,
18537,Orchard Elemental,416825.0,['G'],['G'],,"Council's dilemma — When Orchard Elemental enters the battlefield, starting with you, each player votes for sprout or harvest. Put two +1/+1 counters on Orchard Elemental for each sprout vote. You gain 3 life for each harvest vote.","Fruits for friends, fists for foes.",68,2,2,
18550,Affa Guard Hound,416838.0,['W'],['W'],,"Flash (You may cast this spell any time you could cast an instant.)
When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.","Once a welcoming hub for explorers, Affa became a place of guarded tongues and quick defenses.",81,2,2,
18553,Faith's Reward,416841.0,['W'],['W'],,Return to the battlefield all permanent cards in your graveyard that were put there from the battlefield this turn.,"""I thought the wind was ushering me to my final destination, but it lifted me to my feet and I fought on.""
—Idrus, war priest of Thune",84,,,
18560,Hallowed Burial,416848.0,['W'],['W'],,Put all creatures on the bottom of their owners' libraries.,"""I'd rather hear the screams of battle than the quiet that follows.""
—Talara, elvish safewright",91,,,
18561,Hollowhenge Spirit,416849.0,['W'],['W'],,"Flash (You may cast this spell any time you could cast an instant.)
Flying
When Hollowhenge Spirit enters the battlefield, remove target attacking or blocking creature from combat.",Some spirits mourn. Others terrorize.,92,2,2,
18563,Kill Shot,416851.0,['W'],['W'],,Destroy target attacking creature.,"Mardu archers are trained in Dakla, the way of the bow. They never miss their target, no matter how small, how fast, or how far away.",94,,,
18569,Windborne Charge,416857.0,['W'],['W'],,Two target creatures you control each get +2/+2 and gain flying until end of turn.,The merfolk call the sky goddess Emeria. The kor call her Kamsa. The two races agree on little except that she offers many blessings to the faithful.,100,,,
18571,Bonds of Quicksilver,416859.0,['U'],['U'],,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature doesn't untap during its controller's untap step.",The sea's reach extends beyond its shores.,102,,,
18572,Caller of Gales,416860.0,['U'],['U'],,"{1}{U}, {T}: Target creature gains flying until end of turn.","""Some merfolk choose to rest their fins in the water. I believe wisdom exists not only where we were born but where we were told not to go.""",103,1,1,
18573,Cloaked Siren,416861.0,['U'],['U'],,"Flash (You may cast this spell any time you could cast an instant.)
Flying","""That is not the voice of the wind singing on the stones.""
—Callaphe the mariner",104,3,2,
18580,Followed Footsteps,416868.0,['U'],['U'],,"Enchant creature
At the beginning of your upkeep, create a token that's a copy of enchanted creature.",Æther can turn a footprint into a blueprint.,111,,,
18582,Kami of the Crescent Moon,416870.0,['U'],['U'],['Legendary'],"At the beginning of each player's draw step, that player draws an additional card.","""He's a lot like me, that masterless little kami . . . unimpressed by grandeur and never at a loss for a trick.""
—Toshiro Umezawa",113,1,3,
18584,Merfolk Skyscout,416872.0,['U'],['U'],,"Flying
Whenever Merfolk Skyscout attacks or blocks, untap target permanent.","""Emeria is a pleasant lie, a figment to hide Emrakul's hideous face. I can only hope to uncover a truth that lies deeper still.""",115,2,3,
18590,Show and Tell,416878.0,['U'],['U'],,"Each player may put an artifact, creature, enchantment, or land card from their hand onto the battlefield.","At the academy, ""show and tell"" too often becomes ""run and hide.""",121,,,
18593,Vaporkin,416881.0,['U'],['U'],,"Flying
Vaporkin can block only creatures with flying.","""Mists are carefree. They drift where they will, unencumbered by rocks and river beds.""
—Thrasios, triton hero",124,2,1,
18598,Blood-Toll Harpy,416886.0,['B'],['B'],,"Flying
When Blood-Toll Harpy enters the battlefield, each player loses 1 life.","When harpies demand a toll to cross through their territory, consider yourself lucky if they permit payment in coin.",129,2,1,
18599,Child of Night,416887.0,['B'],['B'],,Lifelink,Sins that would be too gruesome in the light of day are made more pleasing in the dark of night.,130,2,1,
18603,Farbog Boneflinger,416891.0,['B'],['B'],,"When Farbog Boneflinger enters the battlefield, target creature gets -2/-2 until end of turn.","""Here are some bones for you to choke on, dear brother!""
—Gisa, to Geralf",134,2,2,
18604,Festergloom,416892.0,['B'],['B'],,Nonblack creatures get -1/-1 until end of turn.,The death of a scout can be as informative as a safe return.,135,,,
18611,Mausoleum Turnkey,416899.0,['B'],['B'],,"When Mausoleum Turnkey enters the battlefield, return target creature card of an opponent's choice from your graveyard to your hand.","When he reaches for his key ring, you should be running for the exit.",142,3,2,
18614,Public Execution,416902.0,['B'],['B'],,Destroy target creature an opponent controls. Each other creature that player controls gets -2/-0 until end of turn.,"Though the executioner did not speak, the villagers got the message.",145,,,
18617,Shambling Goblin,416905.0,['B'],['B'],,"When Shambling Goblin dies, target creature an opponent controls gets -1/-1 until end of turn.","""The Kolaghan send them at us. We kill and raise them. They fight the next wave the Kolaghan send. It's a neat little cycle.""
—Asmala, Silumgar sorcerer",148,1,1,
18618,Stromkirk Patrol,416906.0,['B'],['B'],,"Whenever Stromkirk Patrol deals combat damage to a player, put a +1/+1 counter on it.","""You'd best move along, human. Our palates are far less discerning than our master's.""",149,4,3,
18620,Burn Away,416908.0,['R'],['R'],,"Burn Away deals 6 damage to target creature. When that creature dies this turn, exile its controller's graveyard.","""Your corruption will burn, serpent, until there is nothing left to defile.""
—Asmala, bloodfire mystic",151,,,
18621,Burning Wish,416909.0,['R'],['R'],,You may reveal a sorcery card you own from outside the game and put it into your hand. Exile Burning Wish.,"She wished for a weapon, but not for the skill to wield it.",152,,,
18623,Coordinated Assault,416911.0,['R'],['R'],,Up to two target creatures each get +1/+0 and gain first strike until end of turn.,"It's hard to shout ""Shields up!"" with a javelin in your chest.",154,,,
18626,Flame Slash,416914.0,['R'],['R'],,Flame Slash deals 4 damage to target creature.,"After millennia asleep, the Eldrazi had forgotten about Zendikar's fiery temper and dislike of strangers.",157,,,
18629,Goblin Tunneler,416917.0,['R'],['R'],,{T}: Target creature with power 2 or less can't be blocked this turn.,"""The best way over the mountain is through.""",160,1,1,
18635,Ill-Tempered Cyclops,416923.0,['R'],['R'],,"Trample
{5}{R}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)",A cyclops has two moods: angry and asleep.,166,3,3,
18636,Kiln Fiend,416924.0,['R'],['R'],,"Whenever you cast an instant or sorcery spell, Kiln Fiend gets +3/+0 until end of turn.",It traps an explosion within its stony skin.,167,1,2,
18637,Ogre Sentry,416925.0,['R'],['R'],,Defender,"""You have to appreciate the genius of it. Why bother building defenses when you can just fill the pass with angry ogres?""
—Javad Nasrin, Ondu relic hunter",168,3,3,
18642,Twin Bolt,416930.0,['R'],['R'],,Twin Bolt deals 2 damage divided as you choose among one or two targets.,"Kolaghan archers are trained in Dakla, the way of the bow. They utilize their dragonlord's lightning to strike their target, no matter how small, how fast, or how far away.",173,,,
18645,Birds of Paradise,416933.0,['G'],['G'],,"Flying
{T}: Add one mana of any color.","""The gods used their feathers to paint all the colors of the world.""
—Yare-Tiva, warden of Gramur Forest",176,0,1,
18646,Brushstrider,416934.0,['G'],['G'],,Vigilance,Magistrate Ludy agreed to designate land for the brushstriders only after several broken windows and dozens of missing blini-cakes.,177,3,1,
18648,Copperhorn Scout,416936.0,['G'],['G'],,"Whenever Copperhorn Scout attacks, untap each other creature you control.","Fangren spur may sound louder, but Viridian resurgents claim that the horn of the vorrac creates a truer, more inspiring note.",179,1,1,
18650,Fade into Antiquity,416938.0,['G'],['G'],,Exile target artifact or enchantment.,"""Are the gods angry at our discontent with what they give us, or jealous that we made a thing they cannot?""
—Kleon the Iron-Booted",181,,,
18652,Irresistible Prey,416940.0,['G'],['G'],,"Target creature must be blocked this turn if able.
Draw a card.","The baloth's instincts boiled, its muscles pulled taut, and its razor-spines bristled, as it turned to face—a runt meepling.",183,,,
18653,Lace with Moonglove,416941.0,['G'],['G'],,"Target creature gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy that creature.)
Draw a card.","""Which is more filled with poison: the flower of the moonglove or the minds of elves?""
—Vessifrus, flamekin demagogue",184,,,
18656,Nessian Asp,416944.0,['G'],['G'],,"Reach
{6}{G}: Monstrosity 4. (If this creature isn't monstrous, put four +1/+1 counters on it and it becomes monstrous.)",It's not the two heads you should fear. It's the four fangs.,187,4,5,
18657,Netcaster Spider,416945.0,['G'],['G'],,"Reach (This creature can block creatures with flying.)
Whenever Netcaster Spider blocks a creature with flying, Netcaster Spider gets +2/+0 until end of turn.",It is an expert at culling individuals who stray too far from the herd.,188,2,3,
18661,Ravenous Leucrocota,416949.0,['G'],['G'],,"Vigilance
{6}{G}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)",Hunger makes a leucrocota dangerous. A full belly makes it angry and dangerous.,192,2,4,
18662,Strength in Numbers,416950.0,['G'],['G'],,"Until end of turn, target creature gains trample and gets +X/+X, where X is the number of attacking creatures.","""The hermit dies. The outcast dies. The lone wolf dies. Only those who stick together survive this world.""
—Uros, Pendelhaven elder",193,,,
18664,Voyaging Satyr,416952.0,['G'],['G'],,{T}: Untap target land.,"""None can own the land's bounty. The gods made this world for all to share its riches. And I'm not just saying that because you caught me stealing your fruit.""",195,1,2,
18705,Brago's Representative,382223.0,['W'],['W'],,"While voting, you get an additional vote. (The votes can be for different choices or for the same choice.)","On Fiora, no matter is settled until King Brago offers an opinion.",14,1,4,
18710,Rousing of Souls,382348.0,['W'],['W'],,"Parley — Each player reveals the top card of their library. For each nonland card revealed this way, you create a 1/1 white Spirit creature token with flying. Then each player draws a card.","""We remember. We rise.""",19,,,
18712,Marchesa's Emissary,382304.0,['U'],['U'],,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)","""The Black Rose doesn't tolerate weeds.""",21,2,2,
18713,Marchesa's Infiltrator,382305.0,['U'],['U'],,"Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)
Whenever Marchesa's Infiltrator deals combat damage to a player, draw a card.","""Secrets, like coins, are easy to steal.""",22,1,1,
18719,Grudge Keeper,382280.0,['B'],['B'],,"Whenever players finish voting, each opponent who voted for a choice you didn't vote for loses 2 life.","""Your defiance is noted.""",28,2,1,
18722,Enraged Revolutionary,382261.0,['R'],['R'],,"Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)","When every right is voted away, only rage remains.",31,2,1,
18723,Grenzo's Cutthroat,382277.0,['R'],['R'],,"First strike
Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)","""Their guards are soft, ready to welcome a sharp dagger.""",32,1,1,
18727,Treasonous Ogre,382386.0,['R'],['R'],,"Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)
Pay 3 life: Add {R}.","""Everything comes with a price. Especially revolution.""
—Grenzo, dungeon warden",36,2,3,
18728,Predator's Howl,382333.0,['G'],['G'],,"Create a 2/2 green Wolf creature token.
Morbid — Create three 2/2 green Wolf creature tokens instead if a creature died this turn.","""And Muzzio says my arguments have no teeth.""
—Selvala, ranger of the Lowlands",37,,,
18730,Selvala's Charge,382358.0,['G'],['G'],,"Parley — Each player reveals the top card of their library. For each nonland card revealed this way, you create a 3/3 green Elephant creature token. Then each player draws a card.",Selvala's arrival never goes unnoticed.,39,,,
18757,Ajani's Sunstriker,382211.0,['W'],['W'],,Lifelink (Damage dealt by this creature also causes you to gain that much life.),"""Ajani goes where he is needed most and in his name we keep his lands safe.""",66,2,2,
18759,Courier Hawk,382240.0,['W'],['W'],,"Flying, vigilance",The Orzhov started using hawks as messengers in order to bypass the many toll roads and bridges that dot Ravnica. Soon the service became one of their most profitable businesses.,68,1,2,
18764,Kor Chant,382294.0,['W'],['W'],,All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.,Sacred rites repurposed to fight an ancient threat.,73,,,
18765,Moment of Heroism,382311.0,['W'],['W'],,Target creature gets +2/+2 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),"""My faith is stronger than fang, claw, or mindless hunger.""",74,,,
18767,Pillarfield Ox,382325.0,['W'],['W'],,,"""May starving fleas birth a thousand generations on your stubborn hide, cow!""
—Bruse Tarl, Goma Fada nomad",76,2,4,
18768,Pride Guardian,382334.0,['W'],['W'],,"Defender
Whenever Pride Guardian blocks, you gain 3 life.","""Any hotheaded cub can raise a sword in anger.""",77,0,3,
18773,Soulcatcher,382368.0,['W'],['W'],,"Flying
Whenever a creature with flying dies, put a +1/+1 counter on Soulcatcher.","""Their spirits walk the winds and fill my soul.""",82,1,1,
18774,Stave Off,382376.0,['W'],['W'],,Target creature gains protection from the color of your choice until end of turn.,"""Just a moment of perfect grace and sanctity is enough.""
—Kal Lior, leonin elder",83,,,
18777,Valor Made Real,382396.0,['W'],['W'],,Target creature can block any number of creatures this turn.,"""As my father taught, 'Training will raise your shield to the blow, but courage fills the gaps the shield leaves open.'""",86,,,
18779,Wakestone Gargoyle,382404.0,['W'],['W'],,"Defender, flying
{1}{W}: Creatures you control with defender can attack this turn as though they didn't have defender.","Its pulsating cry shatters bonds of iron, granite, and servitude.",88,3,4,
18780,Aether Tradewinds,382208.0,['U'],['U'],,Return target permanent you control and target permanent you don't control to their owners' hands.,"""The wind smells of misfortune. Check your knots.""
—Anitan, Ondu cleric",89,,,
18781,Air Servant,382210.0,['U'],['U'],,"Flying
{2}{U}: Tap target creature with flying.","""Wind is forceful, yet ephemeral. It can knock a dragon out of the sky, yet pass through the smallest crack unhindered.""
—Jestus Dreya, *Of Elements and Eternity*",90,4,3,
18790,Grixis Illusionist,382279.0,['U'],['U'],,{T}: Target land you control becomes the basic land type of your choice until end of turn.,"""It's simple, really. If they can't find us, they can't kill us.""",99,1,1,
18792,Minamo Scrollkeeper,382307.0,['U'],['U'],,"Defender
Your maximum hand size is increased by one.","The scrollkeepers never stepped an inch away from the doors of the Great Library, not even when the ogres and their oni masters swept through Minamo.",101,2,3,
18794,Plated Seastrider,382328.0,['U'],['U'],,,The Neurok buried entangling cables just under the Quicksilver Sea. One seastrider harvest can provide an army's worth of armor and shields.,103,1,4,
18798,Stasis Cell,382375.0,['U'],['U'],,"Enchant creature
Enchanted creature doesn't untap during its controller's untap step.
{3}{U}: Attach Stasis Cell to target creature.",The Simic created the cells to preserve their experiments. The Azorius put the cells to use on the guilty.,107,,,
18799,Stifle,382377.0,['U'],['U'],,Counter target activated or triggered ability. (Mana abilities can't be targeted.),"""Superior force meets woefully inadequate object. What paradox were you expecting?""
—Azguri, archmage of Evos Isle",108,,,
18801,Turn the Tide,382388.0,['U'],['U'],,Creatures your opponents control get -2/-0 until end of turn.,"""Let their mindless armies come and face the might of genius.""
—Varil, Neurok partisan",110,,,
18805,Ill-Gotten Gains,382288.0,['B'],['B'],,"Exile Ill-Gotten Gains. Each player discards their hand, then returns up to three cards from their graveyard to their hand.",Urza thought it a crusade. Xantcha knew it was a robbery.,114,,,
18807,Liliana's Specter,382296.0,['B'],['B'],,"Flying
When Liliana's Specter enters the battlefield, each opponent discards a card.","""The finest minions know what I need without me ever saying a thing.""
—Liliana Vess",116,2,1,
18808,Magus of the Mirror,382301.0,['B'],['B'],,"{T}, Sacrifice Magus of the Mirror: Exchange life totals with target opponent. Activate only during your upkeep.","""Behold! The image of the enemy and all that she has. Trust your envy, and take it.""",117,4,2,
